Clid	Samples	TimePoint	Value	Type	Min	Max
87	VIN13	D2	0.332070	ODEP	0.059800	0.376011
87	VIN13	D5	0.233736	ODEP	0.059800	0.376011
87	VIN13	D14	0.086083	ODEP	0.059800	0.376011
93	285	D2	0.237968	ODEP	0.204314	0.363131
93	285	D5	0.264575	ODEP	0.204314	0.363131
93	285	D14	0.256821	ODEP	0.204314	0.363131
93	BM45	D2	0.261381	ODEP	0.204314	0.363131
93	BM45	D5	0.290212	ODEP	0.204314	0.363131
93	BM45	D14	0.363131	ODEP	0.204314	0.363131
93	DV10	D2	0.258611	ODEP	0.204314	0.363131
93	DV10	D5	0.296993	ODEP	0.204314	0.363131
93	DV10	D14	0.223797	ODEP	0.204314	0.363131
93	EC1118	D2	0.246778	ODEP	0.204314	0.363131
93	EC1118	D5	0.228692	ODEP	0.204314	0.363131
93	EC1118	D14	0.213952	ODEP	0.204314	0.363131
93	VIN13	D2	0.233126	ODEP	0.204314	0.363131
93	VIN13	D5	0.250541	ODEP	0.204314	0.363131
93	VIN13	D14	0.204314	ODEP	0.204314	0.363131
97	285	D2	0.092505	ODEP	0.092505	0.373810
97	285	D5	0.264534	ODEP	0.092505	0.373810
97	285	D14	0.338567	ODEP	0.092505	0.373810
97	BM45	D2	0.113437	ODEP	0.092505	0.373810
97	BM45	D5	0.325902	ODEP	0.092505	0.373810
97	BM45	D14	0.273210	ODEP	0.092505	0.373810
97	DV10	D2	0.108594	ODEP	0.092505	0.373810
97	DV10	D5	0.373810	ODEP	0.092505	0.373810
97	DV10	D14	0.316460	ODEP	0.092505	0.373810
97	EC1118	D2	0.107349	ODEP	0.092505	0.373810
97	EC1118	D5	0.289284	ODEP	0.092505	0.373810
97	EC1118	D14	0.264615	ODEP	0.092505	0.373810
97	VIN13	D2	0.092850	ODEP	0.092505	0.373810
97	VIN13	D5	0.309574	ODEP	0.092505	0.373810
97	VIN13	D14	0.302907	ODEP	0.092505	0.373810
98	285	D2	0.200359	ODEP	0.183057	0.370986
98	285	D5	0.195889	ODEP	0.183057	0.370986
98	285	D14	0.355388	ODEP	0.183057	0.370986
98	BM45	D2	0.183057	ODEP	0.183057	0.370986
98	BM45	D5	0.207315	ODEP	0.183057	0.370986
98	BM45	D14	0.246807	ODEP	0.183057	0.370986
98	DV10	D2	0.234630	ODEP	0.183057	0.370986
98	DV10	D5	0.280446	ODEP	0.183057	0.370986
98	DV10	D14	0.289853	ODEP	0.183057	0.370986
98	EC1118	D2	0.235822	ODEP	0.183057	0.370986
98	EC1118	D5	0.197880	ODEP	0.183057	0.370986
98	EC1118	D14	0.280668	ODEP	0.183057	0.370986
98	VIN13	D2	0.272184	ODEP	0.183057	0.370986
98	VIN13	D5	0.234107	ODEP	0.183057	0.370986
98	VIN13	D14	0.370986	ODEP	0.183057	0.370986
100	285	D2	0.247898	ODEP	0.187820	0.378788
100	285	D5	0.214346	ODEP	0.187820	0.378788
100	285	D14	0.197331	ODEP	0.187820	0.378788
100	BM45	D2	0.277730	ODEP	0.187820	0.378788
100	BM45	D5	0.297102	ODEP	0.187820	0.378788
100	BM45	D14	0.368161	ODEP	0.187820	0.378788
100	DV10	D2	0.199764	ODEP	0.187820	0.378788
100	DV10	D5	0.378788	ODEP	0.187820	0.378788
100	DV10	D14	0.187820	ODEP	0.187820	0.378788
100	EC1118	D2	0.263063	ODEP	0.187820	0.378788
100	EC1118	D5	0.242434	ODEP	0.187820	0.378788
100	EC1118	D14	0.205265	ODEP	0.187820	0.378788
100	VIN13	D2	0.213876	ODEP	0.187820	0.378788
100	VIN13	D5	0.276423	ODEP	0.187820	0.378788
100	VIN13	D14	0.204430	ODEP	0.187820	0.378788
103	285	D2	0.164625	ODEP	0.115957	0.454631
103	285	D5	0.326829	ODEP	0.115957	0.454631
103	285	D14	0.134531	ODEP	0.115957	0.454631
103	BM45	D2	0.188230	ODEP	0.115957	0.454631
103	BM45	D5	0.390671	ODEP	0.115957	0.454631
103	BM45	D14	0.115957	ODEP	0.115957	0.454631
103	DV10	D2	0.187822	ODEP	0.115957	0.454631
103	DV10	D5	0.454631	ODEP	0.115957	0.454631
103	DV10	D14	0.151380	ODEP	0.115957	0.454631
103	EC1118	D2	0.197510	ODEP	0.115957	0.454631
103	EC1118	D5	0.343572	ODEP	0.115957	0.454631
103	EC1118	D14	0.172878	ODEP	0.115957	0.454631
103	VIN13	D2	0.168402	ODEP	0.115957	0.454631
103	VIN13	D5	0.377012	ODEP	0.115957	0.454631
103	VIN13	D14	0.155447	ODEP	0.115957	0.454631
104	285	D2	0.180643	ODEP	0.176586	0.369814
104	285	D5	0.243600	ODEP	0.176586	0.369814
104	285	D14	0.295019	ODEP	0.176586	0.369814
104	BM45	D2	0.322279	ODEP	0.176586	0.369814
104	BM45	D5	0.279510	ODEP	0.176586	0.369814
104	BM45	D14	0.210499	ODEP	0.176586	0.369814
104	DV10	D2	0.186419	ODEP	0.176586	0.369814
104	DV10	D5	0.369814	ODEP	0.176586	0.369814
104	DV10	D14	0.261703	ODEP	0.176586	0.369814
104	EC1118	D2	0.204845	ODEP	0.176586	0.369814
104	EC1118	D5	0.248472	ODEP	0.176586	0.369814
104	EC1118	D14	0.291043	ODEP	0.176586	0.369814
104	VIN13	D2	0.176586	ODEP	0.176586	0.369814
104	VIN13	D5	0.251573	ODEP	0.176586	0.369814
104	VIN13	D14	0.267975	ODEP	0.176586	0.369814
105	285	D2	0.297854	ODEP	0.193719	0.302974
105	285	D5	0.235458	ODEP	0.193719	0.302974
105	285	D14	0.241729	ODEP	0.193719	0.302974
105	BM45	D2	0.302974	ODEP	0.193719	0.302974
105	BM45	D5	0.253543	ODEP	0.193719	0.302974
105	BM45	D14	0.244756	ODEP	0.193719	0.302974
105	DV10	D2	0.282744	ODEP	0.193719	0.302974
105	DV10	D5	0.301282	ODEP	0.193719	0.302974
105	DV10	D14	0.202279	ODEP	0.193719	0.302974
105	EC1118	D2	0.287909	ODEP	0.193719	0.302974
105	EC1118	D5	0.219012	ODEP	0.193719	0.302974
105	EC1118	D14	0.193719	ODEP	0.193719	0.302974
105	VIN13	D2	0.294599	ODEP	0.193719	0.302974
105	VIN13	D5	0.237555	ODEP	0.193719	0.302974
105	VIN13	D14	0.241224	ODEP	0.193719	0.302974
107	285	D2	0.219850	ODEP	0.179460	0.436626
107	285	D5	0.207342	ODEP	0.179460	0.436626
107	285	D14	0.179460	ODEP	0.179460	0.436626
107	BM45	D2	0.433752	ODEP	0.179460	0.436626
107	BM45	D5	0.220570	ODEP	0.179460	0.436626
107	BM45	D14	0.190714	ODEP	0.179460	0.436626
107	DV10	D2	0.204026	ODEP	0.179460	0.436626
107	DV10	D5	0.277160	ODEP	0.179460	0.436626
107	DV10	D14	0.236345	ODEP	0.179460	0.436626
107	EC1118	D2	0.217932	ODEP	0.179460	0.436626
107	EC1118	D5	0.231542	ODEP	0.179460	0.436626
107	EC1118	D14	0.436626	ODEP	0.179460	0.436626
107	VIN13	D2	0.206698	ODEP	0.179460	0.436626
107	VIN13	D5	0.190992	ODEP	0.179460	0.436626
107	VIN13	D14	0.240939	ODEP	0.179460	0.436626
108	285	D2	0.249455	ODEP	0.122426	0.359240
108	285	D5	0.284422	ODEP	0.122426	0.359240
108	285	D14	0.151831	ODEP	0.122426	0.359240
108	BM45	D2	0.229111	ODEP	0.122426	0.359240
108	BM45	D5	0.318028	ODEP	0.122426	0.359240
108	BM45	D14	0.122426	ODEP	0.122426	0.359240
108	DV10	D2	0.289042	ODEP	0.122426	0.359240
108	DV10	D5	0.359240	ODEP	0.122426	0.359240
108	DV10	D14	0.171533	ODEP	0.122426	0.359240
108	EC1118	D2	0.290024	ODEP	0.122426	0.359240
108	EC1118	D5	0.266785	ODEP	0.122426	0.359240
108	EC1118	D14	0.193377	ODEP	0.122426	0.359240
108	VIN13	D2	0.328294	ODEP	0.122426	0.359240
108	VIN13	D5	0.302751	ODEP	0.122426	0.359240
108	VIN13	D14	0.176248	ODEP	0.122426	0.359240
111	285	D2	0.121207	ODEP	0.108462	0.443499
111	285	D5	0.184558	ODEP	0.108462	0.443499
111	285	D14	0.352989	ODEP	0.108462	0.443499
111	BM45	D2	0.119471	ODEP	0.108462	0.443499
111	BM45	D5	0.194390	ODEP	0.108462	0.443499
111	BM45	D14	0.443499	ODEP	0.108462	0.443499
111	DV10	D2	0.128867	ODEP	0.108462	0.443499
111	DV10	D5	0.262917	ODEP	0.108462	0.443499
111	DV10	D14	0.388285	ODEP	0.108462	0.443499
111	EC1118	D2	0.117359	ODEP	0.108462	0.443499
111	EC1118	D5	0.184872	ODEP	0.108462	0.443499
111	EC1118	D14	0.371182	ODEP	0.108462	0.443499
111	VIN13	D2	0.108462	ODEP	0.108462	0.443499
111	VIN13	D5	0.188518	ODEP	0.108462	0.443499
111	VIN13	D14	0.329190	ODEP	0.108462	0.443499
112	285	D2	0.234434	ODEP	0.176185	0.415633
112	285	D5	0.272970	ODEP	0.176185	0.415633
112	285	D14	0.192825	ODEP	0.176185	0.415633
112	BM45	D2	0.262598	ODEP	0.176185	0.415633
112	BM45	D5	0.332170	ODEP	0.176185	0.415633
112	BM45	D14	0.176185	ODEP	0.176185	0.415633
112	DV10	D2	0.223108	ODEP	0.176185	0.415633
112	DV10	D5	0.415633	ODEP	0.176185	0.415633
112	DV10	D14	0.200330	ODEP	0.176185	0.415633
112	EC1118	D2	0.236646	ODEP	0.176185	0.415633
112	EC1118	D5	0.279778	ODEP	0.176185	0.415633
112	EC1118	D14	0.207048	ODEP	0.176185	0.415633
112	VIN13	D2	0.206190	ODEP	0.176185	0.415633
112	VIN13	D5	0.304322	ODEP	0.176185	0.415633
112	VIN13	D14	0.219266	ODEP	0.176185	0.415633
118	285	D2	0.177386	ODEP	0.177386	0.376221
118	285	D5	0.205059	ODEP	0.177386	0.376221
118	285	D14	0.318188	ODEP	0.177386	0.376221
118	BM45	D2	0.193420	ODEP	0.177386	0.376221
118	BM45	D5	0.240969	ODEP	0.177386	0.376221
118	BM45	D14	0.244668	ODEP	0.177386	0.376221
118	DV10	D2	0.205494	ODEP	0.177386	0.376221
118	DV10	D5	0.284337	ODEP	0.177386	0.376221
118	DV10	D14	0.328631	ODEP	0.177386	0.376221
118	EC1118	D2	0.206565	ODEP	0.177386	0.376221
118	EC1118	D5	0.221979	ODEP	0.177386	0.376221
118	EC1118	D14	0.376221	ODEP	0.177386	0.376221
118	VIN13	D2	0.196573	ODEP	0.177386	0.376221
118	VIN13	D5	0.232619	ODEP	0.177386	0.376221
118	VIN13	D14	0.335543	ODEP	0.177386	0.376221
120	285	D2	0.103368	ODEP	0.103368	0.596187
120	285	D5	0.151413	ODEP	0.103368	0.596187
120	285	D14	0.220748	ODEP	0.103368	0.596187
120	BM45	D2	0.116147	ODEP	0.103368	0.596187
120	BM45	D5	0.178603	ODEP	0.103368	0.596187
120	BM45	D14	0.221806	ODEP	0.103368	0.596187
120	DV10	D2	0.132105	ODEP	0.103368	0.596187
120	DV10	D5	0.314074	ODEP	0.103368	0.596187
120	DV10	D14	0.406289	ODEP	0.103368	0.596187
120	EC1118	D2	0.129915	ODEP	0.103368	0.596187
120	EC1118	D5	0.225927	ODEP	0.103368	0.596187
120	EC1118	D14	0.596187	ODEP	0.103368	0.596187
120	VIN13	D2	0.124595	ODEP	0.103368	0.596187
120	VIN13	D5	0.184240	ODEP	0.103368	0.596187
120	VIN13	D14	0.262831	ODEP	0.103368	0.596187
