GeneID	Clid	Samples	TimePoint	Value	Type
YGL021W_285	12	285	D2	0.360925	SEP
YGL021W_285	12	285	D5	0.079128	SEP
YGL021W_285	12	285	D14	0.040007	SEP
YGL031C_285	12	285	D2	0.443534	SEP
YGL031C_285	12	285	D5	0.110609	SEP
YGL031C_285	12	285	D14	0.051535	SEP
YGL105W_285	12	285	D2	0.433855	SEP
YGL105W_285	12	285	D5	0.112795	SEP
YGL105W_285	12	285	D14	0.050918	SEP
YGL147C_285	12	285	D2	0.453659	SEP
YGL147C_285	12	285	D5	0.041259	SEP
YGL147C_285	12	285	D14	0.031411	SEP
YGL202W_285	12	285	D2	0.410170	SEP
YGL202W_285	12	285	D5	0.081635	SEP
YGL202W_285	12	285	D14	0.025949	SEP
YGL253W_285	12	285	D2	0.461812	SEP
YGL253W_285	12	285	D5	0.045933	SEP
YGL253W_285	12	285	D14	0.014493	SEP
YGR034W_285	12	285	D2	0.483746	SEP
YGR034W_285	12	285	D5	0.073594	SEP
YGR034W_285	12	285	D14	0.039377	SEP
YGR108W_285	12	285	D2	0.392912	SEP
YGR108W_285	12	285	D5	0.060229	SEP
YGR108W_285	12	285	D14	0.023713	SEP
YGR109C_285	12	285	D2	0.442296	SEP
YGR109C_285	12	285	D5	0.020636	SEP
YGR109C_285	12	285	D14	0.005261	SEP
YGR159C_285	12	285	D2	0.403595	SEP
YGR159C_285	12	285	D5	0.145025	SEP
YGR159C_285	12	285	D14	0.073110	SEP
YGR177C_285	12	285	D2	0.604748	SEP
YGR177C_285	12	285	D5	0.156213	SEP
YGR177C_285	12	285	D14	0.038057	SEP
YGR214W_285	12	285	D2	0.454871	SEP
YGR214W_285	12	285	D5	0.076253	SEP
YGR214W_285	12	285	D14	0.019398	SEP
YGR221C_285	12	285	D2	0.342682	SEP
YGR221C_285	12	285	D5	0.095088	SEP
YGR221C_285	12	285	D14	0.017119	SEP
YHL015W_285	12	285	D2	0.446131	SEP
YHL015W_285	12	285	D5	0.097494	SEP
YHL015W_285	12	285	D14	0.037533	SEP
YHL033C_285	12	285	D2	0.444305	SEP
YHL033C_285	12	285	D5	0.080891	SEP
YHL033C_285	12	285	D14	0.013483	SEP
YHR128W_285	12	285	D2	0.486255	SEP
YHR128W_285	12	285	D5	0.052421	SEP
YHR128W_285	12	285	D14	0.040111	SEP
YHR144C_285	12	285	D2	0.423697	SEP
YHR144C_285	12	285	D5	0.119255	SEP
YHR144C_285	12	285	D14	0.015937	SEP
YHR149C_285	12	285	D2	0.380464	SEP
YHR149C_285	12	285	D5	0.146123	SEP
YHR149C_285	12	285	D14	0.023008	SEP
YHR154W_285	12	285	D2	0.300020	SEP
YHR154W_285	12	285	D5	0.079872	SEP
