GeneID	Clid	Samples	TimePoint	Value	Type
SPBC216.01c_285	1	285	D2	0.166419	ODEP
SPBC216.01c_285	1	285	D5	0.145626	ODEP
SPBC216.01c_285	1	285	D14	0.163318	ODEP
SPBC21C3.06_285	1	285	D2	0.134668	ODEP
SPBC21C3.06_285	1	285	D5	0.240509	ODEP
SPBC21C3.06_285	1	285	D14	0.116938	ODEP
SPBC23E6.10c_285	1	285	D2	0.167550	ODEP
SPBC23E6.10c_285	1	285	D5	0.083801	ODEP
SPBC23E6.10c_285	1	285	D14	0.082723	ODEP
SPBC26H8.06_285	1	285	D2	0.181048	ODEP
SPBC26H8.06_285	1	285	D5	0.147609	ODEP
SPBC26H8.06_285	1	285	D14	0.066986	ODEP
SPBC2D10.08c_285	1	285	D2	0.256861	ODEP
SPBC2D10.08c_285	1	285	D5	0.144391	ODEP
SPBC2D10.08c_285	1	285	D14	0.278017	ODEP
SPBC530.07c_285	1	285	D2	0.180404	ODEP
SPBC530.07c_285	1	285	D5	0.203871	ODEP
SPBC530.07c_285	1	285	D14	0.186778	ODEP
SPBC609.04_285	1	285	D2	0.168963	ODEP
SPBC609.04_285	1	285	D5	0.141095	ODEP
SPBC609.04_285	1	285	D14	0.120794	ODEP
SPBC660.07_285	1	285	D2	0.245925	ODEP
SPBC660.07_285	1	285	D5	0.182976	ODEP
SPBC660.07_285	1	285	D14	0.108878	ODEP
SPBC800.07c_285	1	285	D2	0.115516	ODEP
SPBC800.07c_285	1	285	D5	0.100055	ODEP
SPBC800.07c_285	1	285	D14	0.108275	ODEP
SPBP16F5.04_285	1	285	D2	0.137039	ODEP
SPBP16F5.04_285	1	285	D5	0.213459	ODEP
SPBP16F5.04_285	1	285	D14	0.104759	ODEP
SPBP23A10.05_285	1	285	D2	0.136779	ODEP
SPBP23A10.05_285	1	285	D5	0.148265	ODEP
SPBP23A10.05_285	1	285	D14	0.175908	ODEP
SPCC1183.09c_285	1	285	D2	0.121310	ODEP
SPCC1183.09c_285	1	285	D5	0.132444	ODEP
SPCC1183.09c_285	1	285	D14	0.260127	ODEP
SPCC16A11.13_285	1	285	D2	0.152312	ODEP
SPCC16A11.13_285	1	285	D5	0.206518	ODEP
SPCC16A11.13_285	1	285	D14	0.228617	ODEP
SPCC16C4.15_285	1	285	D2	0.193754	ODEP
SPCC16C4.15_285	1	285	D5	0.208033	ODEP
SPCC16C4.15_285	1	285	D14	0.159041	ODEP
SPCC31H12.06_285	1	285	D2	0.148204	ODEP
