GeneID	Clid	Type
YGR080W	16	ODEP
YGR084C	16	ODEP
YGR091W	16	ODEP
YGR095C	16	ODEP
YGR113W	16	ODEP
YGR119C	16	ODEP
YGR123C	16	ODEP
YGR129W	16	ODEP
YGR165W	16	ODEP
YGR188C	16	ODEP
YGR241C	16	ODEP
YGR251W	16	ODEP
YGR262C	16	ODEP
YGR278W	16	ODEP
YHL004W	16	ODEP
YHL031C	16	ODEP
YHL039W	16	ODEP
YHR024C	16	ODEP
YHR037W	16	ODEP
YHR109W	16	ODEP
YHR120W	16	ODEP
YHR172W	16	ODEP
YHR191C	16	ODEP
YIL010W	16	ODEP
YIL068C	16	ODEP
YIL149C	16	ODEP
YIR006C	16	ODEP
YIR007W	16	ODEP
YIR009W	16	ODEP
YIR012W	16	ODEP
YJL046W	16	ODEP
YJL054W	16	ODEP
YJL073W	16	ODEP
YJL125C	16	ODEP
YJL191W	16	ODEP
YJR003C	16	ODEP
YJR032W	16	ODEP
YJR042W	16	ODEP
YJR056C	16	ODEP
YJR065C	16	ODEP
YJR088C	16	ODEP
YJR112W	16	ODEP
YJR133W	16	ODEP
YJR136C	16	ODEP
YKL092C	16	ODEP
YKL138C-A	16	ODEP
YKL170W	16	ODEP
YKL179C	16	ODEP
YKL211C	16	ODEP
YKR016W	16	ODEP
YKR024C	16	ODEP
YKR063C	16	ODEP
YKR084C	16	ODEP
YLL006W	16	ODEP
YLL007C	16	ODEP
YLR095C	16	ODEP
YLR096W	16	ODEP
YLR128W	16	ODEP
YLR139C	16	ODEP
YLR144C	16	ODEP
YLR199C	16	ODEP
YLR207W	16	ODEP
YLR210W	16	ODEP
YLR229C	16	ODEP
YLR239C	16	ODEP
YLR243W	16	ODEP
YLR319C	16	ODEP
YLR321C	16	ODEP
YLR380W	16	ODEP
YLR405W	16	ODEP
YLR419W	16	ODEP
YLR433C	16	ODEP
YML014W	16	ODEP
YML015C	16	ODEP
YML046W	16	ODEP
YML061C	16	ODEP
YML064C	16	ODEP
YML097C	16	ODEP
YML109W	16	ODEP
